[RUN #0 5 30]
53 -816 -856 124 29
256 -327 -933 -999 492
116 485 526 -952 -814
-375 433 -713 162 866
-861 347 737 -456 -231
-587 -825 -101 801 -262
-636 -728 6 268 -674
497 -44 196 -357 992
655 -117 945 -405 954
-868 433 -903 -752 -767
-685 260 689 660 -803
837 -550 235 -143 -244
-678 -719 -705 853 976
-484 -813 646 -350 206
-930 991 -385 139 -280
-338 595 -41 579 -231
-186 -918 265 -293 -709
192 -8 -790 -842 487
-462 733 -23 -297 749
-420 283 941 -210 -59
-236 658 -259 725 -360
283 443 -821 -44 -975
247 -216 92 -109 712
-309 -360 570 763 696
872 153 -550 969 37
791 487 528 -770 42
594 676 -339 -288 -343
734 -546 185 -830 106
-164 -222 -892 -748 295
261 -100 411 -628 -904
[RUN #1 5 30]
-200 804 849 831 -911
-729 777 868 672 641
935 125 -463 -844 338
106 136 -396 438 -127
553 -136 52 437 456
935 -24 472 613 -405
-455 -95 -168 -478 356
-575 -239 93 -732 714
857 345 779 -550 988
499 847 -430 600 884
-139 -811 -913 634 -774
370 -943 474 -878 -894
622 -876 -264 195 281
-725 51 373 -497 650
-27 -293 176 -294 -976
-136 26 481 -633 300
189 -249 -977 -106 595
-22 257 107 -171 29
278 231 -36 -500 40
-86 715 -810 882 7
17 -588 705 -74 500
-488 -241 89 -879 495
921 -396 391 -56 -399
-691 -212 172 -87 -915
-706 843 -314 -195 48
-653 981 -201 565 474
-251 581 614 -60 230
-452 -283 893 -170 -200
153 -105 -894 57 427
664 635 -82 -291 723
[RUN #2 5 100]
56 25 635 -694 979
-941 283 -462 -717 -288
564 -151 452 141 152
-259 202 906 -794 141
527 641 -865 442 664
-614 435 -964 747 -570
650 -920 30 331 987
766 -172 -796 603 -727
-105 762 675 -528 -912
393 261 242 834 839
-817 -951 -874 -765 -614
781 -483 -511 337 -776
877 -22 511 -300 -796
-10 -313 88 805 -360
218 -785 421 721 -381
406 492 194 770 447
-145 18 389 -827 -955
164 725 475 714 733
-721 -637 -318 826 -783
383 -99 108 -408 697
758 894 -311 -772 811
-484 -197 -789 183 154
-783 -837 110 -602 779
160 602 343 -206 -569
800 957 133 -916 889
264 -468 -613 88 13
-678 -7 -487 358 -569
125 -492 320 -699 -582
-328 347 -303 -912 -595
-367 -607 -730 638 -404
-753 -875 530 254 -570
538 47 949 477 933
88 318 -505 -346 -398
-389 -553 -113 -419 59
920 -518 711 -217 -657
-393 -527 259 954 192
-774 -308 -128 538 130
864 -993 -269 -787 496
72 -680 757 -335 -191
-626 -485 230 -688 138
694 123 -571 478 117
834 742 -544 -156 526
111 962 -529 912 481
-594 -462 -90 420 -483
218 288 -173 -927 -981
-185 617 -67 129 950
-517 -417 -527 -472 -240
131 928 540 -197 -23
-311 260 293 -593 -452
377 763 189 461 89
-33 -294 -125 -555 897
-620 -142 238 526 144
718 -644 504 225 5
-377 -509 124 -141 729
-48 -498 909 -113 805
-24 -382 265 819 -574
896 -557 378 37 -482
-213 -826 262 597 928
119 819 837 629 341
-837 -337 -612 766 972
869 -673 -591 -191 155
660 -9 927 961 -506
540 -889 -70 716 853
338 -54 -973 715 -780
-454 717 909 140 464
-547 -533 -212 -216 -150
-18 -163 987 -494 272
-907 -715 -33 -144 -111
-636 738 741 -471 768
-660 450 -396 789 -483
26 247 451 990 204
-40 902 363 60 204
537 291 31 974 98
-243 960 -89 356 -954
41 63 623 926 -542
216 421 -542 602 -629
524 -816 -54 343 899
651 98 -131 -614 -407
896 -150 929 -233 658
-38 -462 633 960 -100
142 -968 707 9 232
-810 501 548 606 -352
372 350 986 -421 625
728 -534 303 758 57
894 905 210 -122 414
-877 99 -30 213 -65
6 -52 817 -124 -756
-625 -315 206 -289 -70
-361 -688 -598 178 320
746 431 -583 -443 931
498 468 88 -823 330
-18 417 -757 -644 -261
-499 -605 -14 701 181
435 -128 -348 -983 635
-908 -108 -905 503 -692
-20 -362 354 -62 -727
-135 395 571 383 -423
253 590 884 -538 514
125 318 -668 -129 885
293 -193 -578 -98 -931
[RUN #3 5 500]
-116 903 -992 357 864
-75 371 847 -863 623
2 -591 364 979 986
959 337 -328 110 144
-521 930 -672 352 -167
760 54 404 -21 747
832 44 -709 895 382
-258 354 -565 922 -20
457 388 -923 962 514
953 -58 -989 664 981
-226 521 116 -413 -591
133 307 258 907 -16
672 534 806 181 -816
910 -238 48 718 625
-181 -615 -961 -512 -350
-517 -842 971 -961 -590
3 -717 419 735 -293
890 -405 -241 -516 986
602 -754 876 435 578
501 300 323 -188 -619
-986 -803 716 -860 338
-771 87 -851 316 -932
282 -710 925 -617 -680
-542 -239 -657 -209 266
-1 -440 878 -980 -573
80 637 363 307 828
468 -786 -552 -766 -650
-830 -593 73 -859 569
335 282 881 -536 -954
-129 31 504 -596 -787
749 352 678 807 -95
787 561 679 -736 -902
-875 -94 -198 172 69
663 -873 -26 -452 -405
969 130 -107 -800 -1000
-936 -82 -352 -402 -582
45 -864 -941 536 -905
86 -744 269 -976 -622
-667 -341 -603 -827 191
-496 -131 -208 755 -929
960 -477 -879 -511 499
-577 -623 623 -428 498
-349 -378 381 217 -224
-239 514 -747 -2 -237
532 748 416 637 977
323 -550 188 -984 -191
906 -915 768 -84 370
0 -987 223 -552 -755
488 -980 -99 -364 622
476 56 -770 901 -476
757 352 -154 -387 568
185 -651 -583 110 -813
-767 -472 -438 -42 485
-282 -916 -66 119 -676
-800 -253 -764 -914 110
160 -153 872 -41 663
858 349 807 -768 -960
-883 444 604 -563 928
-588 566 557 155 516
-50 -820 587 955 461
-719 884 893 -628 47
158 664 -637 -228 4
-589 203 596 -247 -92
664 -288 -197 221 -850
-551 -691 -497 277 -807
-493 -387 240 863 -660
-236 -793 756 -737 -870
-261 -499 636 -12 365
-283 -468 -320 -706 112
259 -936 63 -891 588
225 585 671 715 455
326 654 -495 -522 -461
469 -15 136 738 -401
677 476 18 617 -274
-345 -615 859 696 241
-593 497 781 825 650
950 -936 -983 -865 129
908 754 56 242 -497
915 -513 770 -938 -912
685 -804 -252 637 302
-174 -358 -538 -498 895
30 633 -945 -882 -708
-628 -901 182 -506 530
-494 226 -586 354 -32
-949 -113 -785 -963 7
-338 -308 382 510 -827
235 925 540 -442 -261
133 -929 -439 -291 172
435 467 31 -87 78
202 -218 604 -856 -603
21 -501 63 -620 340
-695 -871 200 -723 726
202 -461 -596 -459 291
676 -780 -504 746 -21
-943 -439 240 648 123
116 418 609 -416 -965
-537 -206 925 204 820
151 217 -379 -20 -892
-126 191 -834 450 -905
-170 -646 851 -743 59
-203 -139 -912 -393 -942
-48 751 870 -897 -641
-781 5 -414 -786 -511
-730 -305 562 -17 875
101 797 400 287 639
-37 -22 704 -266 360
13 966 922 -633 -391
-30 -722 -254 -231 -219
-846 -972 -578 -644 245
680 -97 -834 940 394
545 -199 837 -443 -329
89 -674 -498 342 -584
-485 -221 -646 788 310
-829 -49 -176 -919 151
-903 -165 -496 -77 882
-176 -509 -969 -941 66
556 661 462 -540 -392
5 -537 448 -776 -888
617 -20 -154 -991 315
320 22 61 -503 -774
601 29 -577 -891 690
672 -708 -285 439 380
848 -889 407 -923 662
706 -839 -950 -907 -165
966 -117 181 -219 -572
57 181 657 632 -806
498 -534 615 594 -241
-806 584 281 -533 582
321 632 969 293 910
-956 539 180 175 -584
544 -125 466 622 -288
-641 736 -928 129 -355
193 -835 -852 -912 190
399 -266 -703 703 258
-562 735 -673 -452 598
-550 -977 -305 88 865
9 -809 -493 -246 674
-165 -120 243 -141 -642
324 -2 -288 -471 3
-770 379 -278 -669 -159
289 401 967 -336 -563
235 299 -894 -90 386
802 484 -675 598 -466
-359 -415 -80 -898 -331
773 -599 919 -433 891
139 302 381 440 81
-272 326 602 576 -301
769 524 891 -628 485
74 116 -481 -516 422
-846 -188 -152 333 -409
196 -306 -224 -936 640
440 -847 751 458 497
-170 703 -509 851 805
-269 -25 -638 273 681
-302 -988 -419 721 228
432 61 414 328 574
-193 -550 -128 650 -609
834 -578 852 -438 176
638 -881 280 -598 120
221 -211 -50 -437 351
303 -604 445 628 535
27 -699 637 -140 470
-750 379 734 -901 -720
678 -487 -209 720 -103
227 -319 978 523 303
-615 -655 -872 125 852
-894 916 -124 -625 54
-299 322 -251 62 142
-117 581 577 -82 685
-720 197 281 -295 128
352 513 567 691 602
654 852 808 165 205
237 24 849 -778 227
72 -204 -712 305 748
-713 781 372 -80 -276
-5 728 181 235 -796
-222 -571 962 -457 -939
-209 571 839 -844 105
-784 896 -573 -828 -187
353 -262 -864 889 604
-475 -470 -267 31 286
-999 114 -48 290 495
812 -367 554 -236 -203
-600 720 402 108 888
790 -524 406 278 -722
-759 -723 -652 -388 409
579 935 -472 664 938
163 -990 -174 -282 893
527 -707 -214 -346 -407
-540 -457 99 -183 529
-832 -588 347 859 95
978 -345 564 -307 -646
246 -128 -971 -492 -722
815 -424 -663 -488 882
-314 543 569 86 -688
-913 -793 365 -575 752
672 159 111 244 -163
704 -208 281 -452 -876
656 727 21 359 -629
822 115 48 -14 -146
666 85 850 -283 -93
410 -860 -928 767 762
487 160 737 876 -998
-962 -767 238 177 616
-73 -840 -173 528 169
-828 477 538 -328 245
263 -222 -467 -109 238
-13 -671 -322 -396 -113
894 895 839 -865 -64
-99 710 525 139 -603
791 331 395 932 -541
674 752 -592 619 -920
695 -225 -315 164 -473
-27 -299 640 -152 -44
-755 -697 289 843 805
-691 -134 241 129 101
-909 -439 209 947 227
815 199 313 -108 -583
292 -779 -600 250 -691
-5 -231 -700 -304 841
-727 -548 -435 -114 -725
819 505 106 216 -13
-983 -445 -208 -411 28
-782 -424 338 -112 -101
624 670 -113 895 357
716 844 622 -278 -597
106 -780 -163 -949 526
-51 -618 -850 500 -890
-381 597 -866 672 465
-257 -918 624 913 399
-184 -924 597 -521 -73
-27 -436 381 847 220
40 -354 -704 692 -249
693 -66 220 -591 14
-512 613 713 -553 660
-412 -939 191 -248 726
-189 -436 -170 -689 -88
726 -720 -983 -676 666
488 891 146 -948 468
-792 163 -400 -751 -366
931 168 -104 -453 -169
-881 423 -22 59 -963
-427 838 107 -924 183
-54 -924 -916 -152 -874
-572 961 426 130 -380
86 -925 943 887 -598
98 598 -457 162 -885
-146 424 -124 -467 -922
382 -929 331 459 947
427 -644 972 576 481
-450 464 -715 -720 -18
817 415 426 -114 154
-628 -713 898 649 419
507 -282 890 589 -952
-853 495 -954 -305 -258
739 -908 -951 -260 634
-228 -481 -936 685 195
665 -592 256 -163 -896
143 -778 -487 -852 -997
-302 -883 -846 -650 -458
-266 -286 625 859 -384
-876 -88 319 -874 -10
118 -85 774 427 -323
-943 374 142 -548 -565
548 661 796 -873 505
-636 254 -868 336 -807
315 -164 -299 350 -628
-378 591 -853 827 334
681 309 162 72 -187
-637 209 683 -145 -665
-91 -665 -996 639 517
201 729 -218 -4 -448
-769 795 833 523 -909
920 -204 -434 -751 -631
972 -744 -309 -919 414
-861 728 172 520 516
486 -417 -860 -447 846
-174 -84 -587 800 294
473 720 -528 -456 913
-742 -873 -624 586 652
-350 572 772 -946 688
801 -49 165 302 299
-140 -121 -887 111 -618
583 -704 -326 -918 -836
835 -692 98 984 770
825 -391 -751 -682 -18
457 -468 -858 -236 -632
-953 623 -534 34 -756
-483 -378 533 899 -130
23 -453 790 575 -489
-686 -976 -614 -618 -176
-284 679 314 351 -976
-601 -942 525 394 460
171 103 -480 169 -90
275 -909 -996 287 -195
-201 926 106 -537 -189
8 157 729 -707 425
913 -812 707 532 45
517 684 -505 -375 -928
854 -175 891 541 221
-847 -146 -131 407 -519
589 -500 -944 395 -371
365 -998 -887 -285 -328
296 -592 -35 -584 568
-657 221 813 651 387
-658 -423 140 -670 -915
695 -238 565 564 742
922 -644 -611 383 939
-617 24 175 -94 254
-175 755 969 388 -953
150 -716 -328 -200 683
529 448 -711 -104 50
493 -67 -56 399 -936
-754 789 -762 804 662
-428 587 -454 -513 -746
-712 -106 915 -47 -682
260 572 -696 620 -218
-6 471 628 -422 750
-242 -272 592 -554 960
-551 -357 789 -920 97
816 -639 231 282 31
-103 766 394 -769 -142
-266 -332 927 -191 663
940 805 -79 -606 644
-134 -502 -178 -145 113
995 -320 213 832 696
-441 -924 593 953 -345
-985 146 63 616 -39
-929 -358 -409 602 -539
550 422 -219 -665 418
-253 -382 321 -695 511
859 -915 267 478 835
855 -594 247 895 345
501 -305 -678 -213 -917
-545 270 648 72 -200
-274 -125 642 -570 472
846 -161 -300 56 878
-311 415 120 -333 147
-106 -585 543 858 334
-195 945 -856 -15 -359
-960 -63 -435 297 21
295 -860 125 -580 -324
392 691 -27 191 -425
729 -672 608 45 -474
327 574 -208 -74 784
-557 -512 309 -14 -395
-193 -206 -501 -330 -694
941 518 505 711 601
-810 101 -645 970 -11
213 492 -337 472 927
255 -622 439 -921 -345
334 429 971 33 692
115 352 346 -810 177
-686 342 -132 -253 780
166 128 -159 685 -137
554 -700 -19 -695 -354
-883 975 -482 60 -150
516 513 -118 511 -503
996 233 -747 303 913
355 491 -802 544 -260
687 122 591 83 716
286 -45 578 -915 579
-265 288 -233 451 -451
-175 669 -8 314 340
750 877 748 713 456
691 490 -835 562 599
231 310 -591 851 -505
-376 -193 628 -328 657
298 117 -15 -945 44
-251 983 763 -98 -522
-921 -913 -6 623 650
204 9 831 -491 -123
573 -408 829 -943 -913
604 272 -512 740 -271
-277 -782 36 -17 13
-149 -328 -681 935 -770
-854 -734 266 -67 250
251 289 134 569 -607
-368 955 -925 496 -562
-532 -768 -87 -911 701
-359 -248 24 -846 511
-700 317 68 -997 -540
96 956 -730 548 490
-305 -798 722 292 8
730 510 346 215 -509
-946 -424 324 -438 431
321 459 673 -614 760
23 235 311 -292 36
-631 -690 897 738 -67
-683 -209 -724 -797 -666
-328 986 -872 326 611
971 -315 807 863 745
248 -670 -508 73 -554
-218 -539 312 -461 -859
146 -664 628 709 527
853 82 346 -672 557
617 -665 -931 -751 193
-617 965 -365 834 613
262 -949 -744 -191 -364
-933 160 -569 -711 247
-521 -648 -26 633 5
-330 -593 -75 47 702
899 344 -448 -560 -171
-600 -39 -195 -459 -689
-555 -138 -877 -420 -227
-158 -632 456 -358 117
137 431 -961 744 -620
314 -932 -187 782 85
832 -456 -304 -293 50
